loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.5111111,-0.05252308,0.984719,-0.4224707,-1.194502,-0.5811774,-1.491472,0.3908603,-0.230771,0.39697,-0.3102987,-0.9313261,1.644953,0.08893998,-0.2951334,-0.1948402,-0.9406567,-2.43527,1.536529,-0.7116049,1.218798,-0.2804947,283.8754,276.3285,305.6346
3,0.5222223,-0.1079727,1.00462,-0.4683617,-1.188689,-0.5945598,-1.483221,0.3877332,-0.2446575,0.4107969,-0.305488,-0.9431596,1.652045,0.09968457,-0.3124332,-0.1773187,-0.9417534,-2.440439,1.537952,-0.7147462,1.226594,-0.2794661,283.5423,279.9579,302.4562
3,0.5333334,-0.1581304,1.037287,-0.5217602,-1.182371,-0.6088614,-1.474422,0.374866,-0.2723405,0.4161485,-0.3011417,-0.9593723,1.663674,0.07889631,-0.3272763,-0.1837164,-0.9438797,-2.445634,1.540837,-0.7178618,1.234069,-0.2783055,283.2071,283.0937,299.6848
3,0.5444446,-0.2168254,1.066799,-0.565559,-1.176207,-0.6239626,-1.464127,0.345131,-0.2989245,0.4387234,-0.295882,-0.9763404,1.677021,0.0560891,-0.3275855,-0.2246477,-0.9475591,-2.450463,1.543638,-0.7213067,1.242494,-0.2772195,282.7407,285.9489,297.1743
3,0.5555557,-0.2669321,1.080358,-0.6028999,-1.169698,-0.6384013,-1.453832,0.3015088,-0.3243442,0.4571705,-0.2907144,-0.9940169,1.692055,0.07731196,-0.3163044,-0.2557422,-0.9514005,-2.454429,1.544356,-0.724636,1.250462,-0.2760769,282.2504,288.8904,294.6279
3,0.5666668,-0.323405,1.083211,-0.648706,-1.162706,-0.6525554,-1.442954,0.2757944,-0.3476489,0.4541384,-0.2865002,-1.012668,1.707632,0.08849761,-0.3220067,-0.3027282,-0.9559401,-2.459426,1.545572,-0.728085,1.258885,-0.2748021,281.637,291.9567,291.9529
3,0.577778,-0.390533,1.087079,-0.6998529,-1.155146,-0.6668193,-1.430775,0.2574237,-0.4018919,0.4551762,-0.2825539,-1.037152,1.728982,0.08881244,-0.3325107,-0.3512161,-0.9612541,-2.464423,1.547436,-0.73162,1.267277,-0.2737579,281.0847,295.7124,288.5658
3,0.5888891,-0.4310451,1.092196,-0.7275184,-1.148617,-0.6815072,-1.418793,0.253183,-0.430693,0.4721506,-0.2778758,-1.060473,1.748655,0.08805156,-0.3392825,-0.3877888,-0.9662614,-2.469578,1.549354,-0.7351424,1.275541,-0.272686,280.6395,300.1047,284.5158
3,0.6000003,-0.4928584,1.101515,-0.7531217,-1.141475,-0.6968944,-1.404747,0.2190943,-0.4710824,0.4925753,-0.2730475,-1.088872,1.774669,0.09432179,-0.3483692,-0.4041054,-0.9713012,-2.474832,1.551065,-0.7384977,1.284459,-0.2717027,280.4332,305.0408,279.8293
3,0.6111114,-0.5375836,1.092817,-0.7721817,-1.135033,-0.7115332,-1.391316,0.1768687,-0.4784777,0.5345162,-0.2670336,-1.114583,1.798758,0.08345479,-0.3505184,-0.3947739,-0.9749492,-2.480054,1.553183,-0.7415317,1.293391,-0.2708031,280.2989,309.9253,275.2326
3,0.6222225,-0.5780462,1.085224,-0.7796036,-1.128426,-0.7263143,-1.377124,0.1558135,-0.4752668,0.5581763,-0.261393,-1.140469,1.822739,0.0647794,-0.3569854,-0.377275,-0.9785002,-2.485237,1.556012,-0.7446948,1.302092,-0.269889,280.0558,314.4435,271.0306
3,0.6333337,-0.6835378,1.089266,-0.7710461,-1.123204,-0.7416749,-1.359302,0.1573384,-0.4978602,0.6156117,-0.254514,-1.172983,1.852337,0.04360482,-0.3767526,-0.3700205,-0.9819512,-2.491478,1.559541,-0.7475507,1.311026,-0.2692928,279.6528,318.89,266.8305
3,0.6444448,-0.7399382,1.052981,-0.7569486,-1.118351,-0.7552394,-1.343405,0.1724876,-0.5033448,0.6410116,-0.248556,-1.204089,1.879863,0.0516724,-0.3906958,-0.3758529,-0.9862085,-2.497517,1.561724,-0.7501321,1.320289,-0.2692262,279.4456,325.0158,260.7763
3,0.655556,-0.7803333,1.019911,-0.7429578,-1.113125,-0.7685904,-1.327426,0.1761398,-0.4949991,0.6825564,-0.2416179,-1.23672,1.909415,0.05040711,-0.3930775,-0.3695875,-0.9901447,-2.502964,1.564173,-0.7526899,1.329118,-0.2690713,279.4904,331.5324,254.3728
3,0.6666671,-0.8355635,0.9527792,-0.7170289,-1.108863,-0.7796244,-1.311556,0.1573411,-0.4907856,0.7189775,-0.2349643,-1.271386,1.942068,0.02249622,-0.3793506,-0.3203517,-0.9918336,-2.507772,1.56748,-0.7549019,1.338001,-0.2692878,279.6328,337.8416,248.1897
3,0.6777782,-0.8822247,0.871861,-0.6772716,-1.104782,-0.7891575,-1.295846,0.1290783,-0.4908362,0.7693306,-0.227574,-1.310635,1.979771,-0.009291649,-0.3624949,-0.2881231,-0.9939412,-2.511921,1.570941,-0.7566879,1.346923,-0.2699393,279.7278,343.6677,242.508
3,0.6888894,-0.9098139,0.8335794,-0.6483432,-1.101043,-0.8002005,-1.280025,0.1026553,-0.4875879,0.7909075,-0.2212964,-1.34979,2.017834,-0.01406452,-0.351451,-0.2919323,-0.997161,-2.516364,1.57337,-0.7585135,1.355714,-0.2701973,280.0324,349.1966,237.1137
3,0.7000005,-0.9618676,0.7782452,-0.6012357,-1.09829,-0.8091621,-1.263315,0.0558697,-0.4895223,0.8009535,-0.2154721,-1.392309,2.060372,-0.004658073,-0.3371381,-0.3092256,-1.00124,-2.520228,1.575172,-0.7594746,1.364383,-0.2713853,280.5681,353.5564,232.7264
3,0.7111117,-1.014998,0.7282561,-0.5477569,-1.096188,-0.8177928,-1.246322,0.001638651,-0.5074247,0.8195327,-0.2102171,-1.440279,2.108983,-0.005995899,-0.3265487,-0.3289943,-1.005398,-2.524442,1.577194,-0.7603561,1.372822,-0.2728877,281.2105,356.9105,229.2669
3,0.7222228,-1.07132,0.6698183,-0.4728778,-1.095779,-0.8245621,-1.229506,-0.03984725,-0.4986909,0.8189081,-0.205286,-1.485275,2.154454,-0.02243781,-0.3139576,-0.3329501,-1.009133,-2.528397,1.579946,-0.7606597,1.381267,-0.2746468,281.8175,359.6445,226.3729
