loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,tpad,enable,emgA,emgB,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.5333334,-2.379719,0.05243021,-1.117475,-1.047091,3.612094,-2.455283,-1.298807,0.1089501,0,0,10.12708,19.8045,-0.9653817,-0.8588152,1.500718,-0.1978121,3.76266,-0.01043347,-0.2062077,-0.1977708,-0.6092643,-0.9353634,1.748991,0.02695092,0.0791152,1.319104,0.7907815,295.0033,256.2803,60.19035
3,0.5444446,-2.392424,0.05584341,-1.08763,-1.039044,3.603335,-2.423977,-1.2972,0.1462189,0,0,10.06843,19.24731,-0.9510981,-0.8021321,1.410201,-0.1851898,3.726399,0.03538942,-0.2357007,-0.1486122,-0.5963178,-0.9417124,1.749129,0.03019332,0.07641181,1.332,0.7946678,295.1631,252.6941,64.20967
3,0.5555557,-2.392424,0.05584341,-1.08763,-1.039044,3.603335,-2.423977,-1.299169,-0.1809416,0,0,10,18.36755,-0.9510981,-0.8021321,1.410201,-0.1851898,3.726399,0.03538942,-0.2357007,-0.1486122,-0.5963178,-0.9417124,1.749129,0.03019332,0.07365739,1.345444,0.7980605,295.3614,249.1988,68.19724
3,0.5666668,-2.366701,0.02735281,-1.068256,-1.030274,3.595073,-2.394093,-1.32662,-2.508502,0,0,9.902249,17.3607,-0.8832451,-0.7136989,1.348085,-0.1723161,3.695322,0.07360232,-0.2419734,-0.132597,-0.5898979,-0.9481381,1.748214,0.03364664,0.07125176,1.358958,0.7999303,295.3142,244.8073,73.20429
3,0.577778,-2.339897,-0.01075006,-1.051973,-1.0213,3.587268,-2.364941,-1.301332,2.332473,0,0,9.784947,16.23656,-0.81441,-0.6135048,1.275319,-0.1607026,3.667202,0.1083105,-0.2333524,-0.1134592,-0.5889347,-0.9547299,1.747615,0.03612871,0.07047534,1.370077,0.7986852,294.9506,237.1708,81.23795
3,0.5888891,-2.293919,-0.04988831,-1.03895,-1.012097,3.57962,-2.336813,-1.298597,0.2270564,0,0,9.687196,14.98534,-0.7988858,-0.5334593,1.198678,-0.150442,3.637368,0.146166,-0.2344555,-0.08258935,-0.6081467,-0.9622704,1.748088,0.03850372,0.0682776,1.37971,0.7987465,295.4477,233.3193,84.94807
3,0.6000003,-2.22679,-0.03566208,-1.020117,-1.004655,3.570268,-2.309041,-1.299362,-0.06968361,0,0,9.628544,13.62659,-0.8129253,-0.5150597,1.16807,-0.1386506,3.589376,0.2037113,-0.250313,-0.04844001,-0.6069897,-0.9688798,1.74895,0.04157621,0.06459413,1.38881,0.800294,296.4404,232.2012,85.57231
3,0.6111114,-2.183184,0.001921654,-1.001425,-0.998581,3.560264,-2.281161,-1.300639,-0.1159361,0,0,9.63832,12.32649,-0.8753797,-0.4817122,1.080214,-0.1309237,3.541857,0.2621794,-0.2592957,0.0006635189,-0.5569203,-0.9735371,1.750766,0.04369715,0.06010376,1.397921,0.8025529,297.4149,231.8022,85.47875
3,0.6222225,-2.141631,0.02791548,-0.971977,-0.9919561,3.548721,-2.248618,-1.302128,-0.1351741,0,0,9.687196,11.07527,-0.9030448,-0.4582139,1.07836,-0.1193954,3.468903,0.3469159,-0.2641171,0.02100152,-0.5057746,-0.9785034,1.752089,0.04647216,0.05545023,1.40728,0.8047403,298.2885,230.9892,85.93414
3,0.6333337,-2.105415,0.04866183,-0.9457223,-0.9872109,3.538867,-2.222924,-1.302484,-0.03136908,0,0,9.765396,10.1173,-0.9232832,-0.4112625,1.066914,-0.1108013,3.415316,0.4099409,-0.2649582,0.03275552,-0.4844784,-0.982512,1.753217,0.0484943,0.05121208,1.416923,0.8062511,299.0677,229.5011,87.17448
3,0.6444448,-2.01908,0.115782,-0.8635487,-0.9806675,3.518856,-2.168499,-1.279028,2.144856,0,0,9.863148,9.511242,-0.9283648,-0.3277351,0.95002,-0.09641761,3.295023,0.5513753,-0.2695531,0.04038632,-0.3981583,-0.988682,1.755251,0.0537631,0.04712544,1.427312,0.8077354,300.0578,227.8172,88.41459
3,0.655556,-1.948873,0.1974787,-0.8123571,-0.9809365,3.507642,-2.14239,-1.30257,-2.170168,0,0,9.980451,9.247313,-0.9154292,-0.2881013,0.828529,-0.09371024,3.248716,0.6074958,-0.2587704,0.0446476,-0.3844037,-0.9927098,1.756541,0.0555863,0.04196674,1.440714,0.8105896,301.2169,227.8795,88.02135
3,0.6666671,-1.907475,0.2682496,-0.7898155,-0.9810217,3.494474,-2.114146,-1.305763,-0.2708056,0,0,10.09775,9.286413,-0.9151699,-0.2207291,0.7104235,-0.09074135,3.223498,0.6431971,-0.2797226,0.06608668,-0.3522976,-0.9954576,1.758643,0.05851577,0.03825492,1.455349,0.8114893,302.0876,224.8844,91.22943
3,0.6777782,-1.835337,0.4160677,-0.7318096,-0.986943,3.481114,-2.088384,-1.307192,-0.1306265,0,0,10.18573,9.560118,-0.9230481,-0.1778561,0.6488377,-0.08637963,3.183864,0.6941401,-0.2980401,0.1291539,-0.2776381,-0.9952968,1.763768,0.06008251,0.03599952,1.469916,0.810564,302.7966,219.9153,96.63804
3,0.6888894,-1.785372,0.4719304,-0.7026862,-0.9898011,3.469109,-2.062548,-1.305624,0.143769,0,0,10.26393,10.01955,-0.9063087,-0.1010681,0.5902735,-0.08172549,3.16682,0.7210008,-0.3029145,0.1824628,-0.2478077,-0.996475,1.768628,0.06113473,0.03477801,1.483567,0.8086637,303.834,214.6432,102.1554
3,0.7000005,-1.507128,0.4045966,-0.7092731,-0.9874107,3.459286,-2.051226,-1.307294,-0.154672,0,0,10.33236,10.65494,-0.8429074,-0.04883265,0.5089356,-0.07877098,3.160779,0.7339541,-0.2985252,0.2069513,-0.2446835,-0.9989826,1.772854,0.06211903,0.03409986,1.496176,0.8068447,305.0347,210.5655,106.2158
3,0.7111117,-1.39406,0.3633947,-0.7092161,-0.9852902,3.44923,-2.034154,-1.305972,0.1222509,0,0,10.39101,11.35875,-0.7269228,-0.02879834,0.4867328,-0.07499035,3.122862,0.7754289,-0.2972072,0.2325675,-0.2223082,-1.000031,1.777595,0.06326446,0.03356118,1.507767,0.8059466,306.047,207.3405,109.5283
3,0.7222228,-1.291717,0.4005287,-0.6502343,-0.9886357,3.440283,-2.018027,-1.318044,-1.106038,0,0,10.46921,11.88661,-0.6653597,-0.0256449,0.4628039,-0.07171787,3.070846,0.8330671,-0.3129776,0.2571541,-0.2094281,-1.001674,1.782493,0.06487487,0.03272913,1.518275,0.8063146,306.9309,205.2202,112.1068
3,0.7333339,-1.230223,0.5343505,-0.6037784,-0.9966789,3.428715,-1.999958,-1.312277,0.5355942,0,0,10.55719,12.41447,-0.687323,0.03184193,0.497201,-0.06518779,3.016837,0.8960695,-0.3233888,0.2743064,-0.1880053,-1.00228,1.787539,0.06634946,0.031849,1.526748,0.8077048,308.0105,203.548,114.323
3,0.7444451,-1.193269,0.6808389,-0.5594951,-1.006882,3.416804,-1.981112,-1.310289,0.1752148,0,0,10.66471,13.01075,-0.6616113,0.08717382,0.5003073,-0.05889634,2.971449,0.9481372,-0.3179247,0.2817577,-0.1752717,-1.003524,1.791854,0.06747864,0.03080908,1.533035,0.8100458,308.4847,203.1121,115.2837
3,0.7555562,-1.171,0.7494802,-0.5197449,-1.015505,3.406648,-1.963043,-1.308449,0.1665984,0,0,10.77224,13.69502,-0.6385217,0.04040706,0.4681209,-0.05704491,2.897321,1.028835,-0.2954247,0.2827725,-0.1616119,-1.004658,1.796185,0.06765814,0.02968892,1.537731,0.8129491,308.2687,203.7147,114.978
3,0.7666674,-1.140255,0.8318887,-0.4983353,-1.025062,3.394829,-1.944793,-1.306645,0.1629987,0,0,10.86999,14.55523,-0.6367448,-0.01913232,0.4403299,-0.05706568,2.810962,1.122641,-0.2847227,0.2667643,-0.152113,-1.006099,1.799145,0.06865043,0.02869928,1.541743,0.816184,307.7953,204.7332,114.0878
3,0.7777785,-1.051908,0.90945,-0.4396914,-1.036986,3.3859,-1.931727,-1.305483,0.1044073,0,0,10.94819,15.3959,-0.6272308,-0.1012093,0.4539378,-0.05927025,2.686601,1.25363,-0.2740935,0.2379734,-0.140442,-1.007153,1.801137,0.07035166,0.02789609,1.545956,0.8195338,307.344,205.6571,113.3928
3,0.7888896,-1.051908,0.90945,-0.4396914,-1.036986,3.3859,-1.931727,-1.305384,0.007706946,0,0,11.00684,16.14858,-0.6272308,-0.1012093,0.4539378,-0.05927025,2.686601,1.25363,-0.2740935,0.2379734,-0.140442,-1.007153,1.801137,0.07035166,0.02748374,1.550845,0.8225882,307.0932,206.3571,112.8637
