loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
0,0.6111114,-0.6335989,0.896466,-0.004169643,-1.324359,-1.250519,-1.144924,-1.321423,-0.03357475,-0.04638646,-0.1064483,0.05554724,-0.3402945,-0.9358204,1.857873,0.02361011,-0.06537157,-0.1068068,-0.9068255,-2.391926,1.610135,-0.8179616,1.278363,-0.2405472,288.4803,220.2907,17.02208
0,0.6222225,-0.6336043,0.8807148,0.01412651,-1.328926,-1.259032,-1.135873,-1.321598,-0.01559125,-0.06016643,-0.09461628,0.05367698,-0.33996,-0.9382913,1.86119,0.01821052,-0.05377427,-0.1034223,-0.907274,-2.392973,1.610635,-0.8204448,1.281832,-0.2397123,287.9036,220.4471,17.22848
0,0.6333337,-0.6336526,0.8607708,0.03992966,-1.33391,-1.266803,-1.126933,-1.321353,0.02263129,-0.07083108,-0.08058672,0.04327509,-0.339945,-0.9394903,1.863508,0.0157314,-0.0421015,-0.1086977,-0.9086727,-2.392973,1.610539,-0.8229279,1.285229,-0.2390365,287.3174,220.7642,17.30799
0,0.6444448,-0.6251872,0.8462264,0.06780007,-1.339099,-1.27458,-1.118407,-1.321798,-0.04086567,-0.08584298,-0.08145761,0.03489158,-0.3401741,-0.9421321,1.867436,0.01561005,-0.03681716,-0.1108004,-0.9095089,-2.393945,1.610577,-0.8253657,1.288559,-0.2385318,286.7561,221.0562,17.40151
0,0.655556,-0.6153709,0.8372588,0.09666944,-1.344646,-1.282323,-1.109949,-1.321832,-0.002624076,-0.09435523,-0.0910616,0.04233922,-0.3398699,-0.9466078,1.873004,0.006692391,-0.02204964,-0.1158828,-0.9109795,-2.393583,1.610563,-0.8276714,1.29185,-0.2381215,286.2208,221.3089,17.4524
0,0.6666671,-0.6125026,0.8202384,0.117151,-1.35043,-1.28921,-1.101847,-1.322263,-0.03938662,-0.1051679,-0.0908186,0.0264713,-0.3403387,-0.9490308,1.876756,0.001069941,-0.009373177,-0.1189012,-0.9119452,-2.393405,1.61063,-0.8298627,1.295132,-0.2378113,285.6889,221.6669,17.3861
0,0.6777782,-0.6061185,0.8044612,0.1322822,-1.356098,-1.296036,-1.093772,-1.322355,-0.008126242,-0.1181702,-0.0862207,0.002156924,-0.3412042,-0.9506286,1.879948,-0.003992382,-0.0009100754,-0.1059718,-0.9126584,-2.392986,1.610597,-0.8319666,1.298404,-0.2375773,285.1317,222.0033,17.3124
0,0.6888894,-0.5965034,0.779133,0.1485764,-1.361505,-1.302288,-1.086101,-1.322485,-0.01176673,-0.1278696,-0.08175303,-0.01154831,-0.3419893,-0.9523155,1.883284,-0.004005102,0.009724045,-0.1017071,-0.9132842,-2.392884,1.610182,-0.8340232,1.301658,-0.2373936,284.5399,222.3599,17.2163
0,0.7000005,-0.5857599,0.7515983,0.1574685,-1.36678,-1.308164,-1.078834,-1.322468,0.00169148,-0.1278897,-0.0742245,-0.01894358,-0.3427765,-0.9536093,1.88581,-0.009479936,0.01922658,-0.1015568,-0.9143921,-2.392129,1.610016,-0.8360671,1.304849,-0.237287,283.9182,222.7476,17.11106
0,0.7111117,-0.5793052,0.7240096,0.1652718,-1.37199,-1.3136,-1.071418,-1.32269,-0.02035731,-0.1373375,-0.04640864,-0.02389081,-0.3430876,-0.9519587,1.886075,-0.01690735,0.03508748,-0.09280613,-0.9147415,-2.391224,1.609719,-0.83802,1.307969,-0.2372295,283.3472,223.1827,16.94339
0,0.7222228,-0.5696741,0.699675,0.1762559,-1.377407,-1.318744,-1.06438,-1.322969,-0.02537652,-0.1447629,-0.03351994,-0.02901153,-0.3435073,-0.9515075,1.887558,-0.01698963,0.04359153,-0.0917375,-0.9154499,-2.390626,1.609254,-0.8398625,1.31101,-0.2372208,282.8125,223.5493,16.82952
0,0.7333339,-0.5492451,0.6465077,0.1780196,-1.381729,-1.322709,-1.058097,-1.322675,0.02702801,-0.1511872,-0.009846196,-0.04788222,-0.3444176,-0.9483858,1.886511,-0.02133476,0.05524767,-0.08842939,-0.9162723,-2.389244,1.60879,-0.8416811,1.313941,-0.2372827,282.2693,223.8215,16.78213
0,0.7444451,-0.5395379,0.6188644,0.1783917,-1.386481,-1.327183,-1.051621,-1.322877,-0.01878693,-0.1541824,0.008215785,-0.04127722,-0.3444687,-0.9463927,1.886304,-0.0203103,0.05844387,-0.0884514,-0.9170153,-2.388594,1.608445,-0.8435016,1.316766,-0.2374189,281.7592,224.219,16.58203
0,0.7555562,-0.5395379,0.6188644,0.1783917,-1.386481,-1.327183,-1.051621,-1.32334,-0.04221186,-0.1541824,0.008215785,-0.04127722,-0.3444687,-0.9463927,1.886304,-0.0203103,0.05844387,-0.0884514,-0.9170153,-2.388594,1.608445,-0.8453251,1.319494,-0.2376328,281.2809,224.704,16.29023
0,0.7666674,-0.5102693,0.5122883,0.1694746,-1.394189,-1.333474,-1.039985,-1.328642,-0.4846603,-0.1526145,0.01629147,0.001411246,-0.3430301,-0.9460177,1.889123,-0.01951837,0.05950746,-0.09699105,-0.9190734,-2.386765,1.607597,-0.8467572,1.322046,-0.237869,280.8408,224.6324,16.56695
0,0.7777785,-0.4984558,0.4739586,0.1643075,-1.397132,-1.335527,-1.034488,-1.318028,0.9744634,-0.1590469,-0.004000694,0.01085285,-0.3429832,-0.9482781,1.893201,-0.01962866,0.05630192,-0.1023065,-0.920307,-2.386047,1.607329,-0.8474486,1.324051,-0.2380306,280.3167,223.3038,17.90335
0,0.7888896,-0.4779087,0.4120673,0.1491402,-1.399385,-1.337284,-1.029528,-1.32255,-0.4222896,-0.1743109,-0.03358328,-0.00314118,-0.3438913,-0.9516886,1.898858,-0.02935683,0.05080959,-0.1094549,-0.921744,-2.385489,1.607589,-0.8496084,1.326162,-0.238582,280.1227,225.5146,15.71058
0,0.8000008,-0.469239,0.3832519,0.1420686,-1.402335,-1.339506,-1.024283,-1.323363,-0.06974878,-0.1787716,-0.04515076,-0.01493212,-0.3447132,-0.9533381,1.902469,-0.02718722,0.05618102,-0.1052655,-0.9226612,-2.384369,1.607244,-0.8518598,1.328381,-0.2391673,279.901,226.5779,14.81723
0,0.8111119,-0.4541355,0.3469371,0.129786,-1.404596,-1.341255,-1.019435,-1.32376,-0.03610225,-0.1853819,-0.04489024,-0.03616969,-0.3459622,-0.9537265,1.905126,-0.02291643,0.06797814,-0.09902695,-0.9235241,-2.382893,1.606457,-0.8538157,1.330621,-0.2397958,279.6165,226.5112,15.08522
0,0.8222231,-0.4444122,0.3255257,0.1172774,-1.406763,-1.343458,-1.014446,-1.323441,0.02927032,-0.1809274,-0.0290264,-0.02752486,-0.3457486,-0.9530963,1.906418,-0.02396698,0.07647885,-0.09473787,-0.9242149,-2.381693,1.605773,-0.8554277,1.332819,-0.2404572,279.2583,225.8749,15.78286
0,0.8333342,-0.4346023,0.2722238,0.1115673,-1.408309,-1.343914,-1.009869,-1.323565,-0.01177669,-0.1742022,-0.01760206,-0.002973495,-0.3449252,-0.9533323,1.908307,-0.02275528,0.07970428,-0.08838716,-0.924943,-2.38038,1.605213,-0.8568854,1.334966,-0.2411279,278.8721,225.4882,16.13532
0,0.8444453,-0.4291965,0.2530206,0.1075584,-1.410496,-1.345345,-1.004905,-1.323377,0.01725853,-0.1900067,-0.003716305,0.004794862,-0.344416,-0.9524881,1.910122,-0.03014185,0.07533319,-0.08814356,-0.9257968,-2.379386,1.605216,-0.8583848,1.337064,-0.2418165,278.5264,225.0676,16.50629
0,0.8555565,-0.4249007,0.2392242,0.1109139,-1.412605,-1.346551,-1.000063,-1.323346,0.002593292,-0.2026285,-0.0027145,0.01985054,-0.3437193,-0.9532098,1.91348,-0.03680007,0.0762812,-0.09646487,-0.9271082,-2.378206,1.605003,-0.8599752,1.339114,-0.2424684,278.2367,224.6175,16.92253
0,0.8666676,-0.4194986,0.2211333,0.1111488,-1.414612,-1.34748,-0.995496,-1.323006,0.03102407,-0.2142194,-0.004911542,0.03486274,-0.3429475,-0.9544093,1.917563,-0.04443655,0.08361532,-0.09837536,-0.9282421,-2.37669,1.604843,-0.8616191,1.341118,-0.2431294,277.9766,224.2553,17.32097
0,0.8777788,-0.4237094,0.2072697,0.1112962,-1.416667,-1.348354,-0.990477,-1.322959,0.003906521,-0.2261325,-0.01535933,0.02315775,-0.3433283,-0.9554202,1.921404,-0.05301839,0.08560534,-0.09917445,-0.9292419,-2.375426,1.604914,-0.8632439,1.343089,-0.2437861,277.7242,224.1792,17.45898
