loc,t,aDotS,bDotS,gDotS,aS,bS,gS
6,1.933337,-1.131549,1.614231,-0.3780015,281.8858,189.0215,47.12908
6,1.944448,-1.132078,1.613697,-0.3780027,281.8165,188.9294,47.33471
6,1.955559,-1.132639,1.613138,-0.3779899,281.7823,188.5745,47.79501
6,1.966671,-1.132976,1.612537,-0.378071,281.8259,188.3079,48.19961
6,1.977782,-1.133389,1.612026,-0.3782493,281.9501,187.8434,48.80967
6,1.988893,-1.133963,1.611792,-0.3784252,281.9487,187.3261,49.39568
6,2.000004,-1.134861,1.611189,-0.3784353,281.9667,187.057,49.74352
6,2.011115,-1.135535,1.611104,-0.3784874,282.0907,186.7162,50.26775
6,2.022226,-1.136431,1.610652,-0.3784465,282.2913,186.3942,50.8259
6,2.033337,-1.137079,1.610303,-0.3780366,282.5623,186.094,51.49958
6,2.044448,-1.13777,1.60987,-0.3779889,282.5597,186.1324,51.75039
6,2.055559,-1.138371,1.609378,-0.3779991,282.2953,186.6396,51.51413
6,2.06667,-1.138894,1.608867,-0.3779656,282.0752,187.1247,51.22865
6,2.077781,-1.139398,1.608329,-0.3779982,282.0036,187.5485,50.93793
6,2.088892,-1.139878,1.607858,-0.3776874,282.2061,187.6314,50.96231
6,2.100003,-1.140412,1.607397,-0.3776521,282.4021,187.7918,50.95812
6,2.111114,-1.140703,1.606863,-0.3776484,282.5302,188.1081,50.72876
6,2.122225,-1.141112,1.606497,-0.3777763,282.4651,188.7426,50.15191
6,2.133336,-1.141367,1.60592,-0.3779268,282.1923,189.6911,49.09201
6,2.144447,-1.141731,1.605569,-0.3780046,282.0147,190.1108,48.49929
6,2.155558,-1.141951,1.60523,-0.3779739,282.1507,189.8868,48.70475
6,2.166669,-1.142246,1.604928,-0.3782592,282.3517,189.5623,49.15473
6,2.17778,-1.142473,1.604703,-0.3784035,282.4236,189.4294,49.39037
6,2.188891,-1.142413,1.604416,-0.3785625,282.4529,189.5333,49.46787
6,2.200002,-1.142156,1.604232,-0.3786334,282.4357,190.0539,49.07407
6,2.211113,-1.142113,1.604104,-0.3786764,282.3598,190.8403,48.22235
6,2.222224,-1.142254,1.603909,-0.3786678,282.2898,191.1918,47.69344
