loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,aDotE,bDotE,gDotE,aE,bE,gE,xE,yE,zE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand
5,0.4222222,-0.08338432,-0.2130894,-0.3600762,-1.175752,-4.255357,-2.296663,0.1675458,1.289132,0.3616092,-2.060676,0.6110229,-0.09799406,-1.163547,-4.099637,1.997434,0.001719832,1.265738,0.2643557,0.0005235131,0.0002491394,0.001125776,-0.006730341,-2.186375,0.6126091,2.767435,0.773882,1.075162,-0.0007600441,-0.0004187421,-0.001917694,-0.0129925,-2.357706,-2.969692,2.714924,0.7772405,0.9580752,-0.1136724,1.281711,0.1073646,273.2754,121.4483,122.4745
5,0.4333333,0.02854632,-0.1855761,-0.3478715,-1.174583,-4.257681,-2.272696,0.1609102,1.291853,0.3586013,-2.053803,0.5727265,-0.05848715,-1.160739,-4.102016,1.994486,-0.006440997,1.27028,0.2605624,0.001497424,0.001412329,7.550858E-05,-0.006739395,-2.177817,0.6040111,2.767436,0.7738786,1.075172,0.001559079,0.000481024,8.87471E-05,-0.01307932,-2.359939,-2.967552,2.714912,0.7772545,0.9580734,-0.1224023,1.285679,0.1037738,272.6469,122.6223,121.9791
5,0.4444444,0.2190336,-0.1138168,-0.337662,-1.176695,-4.261713,-2.248252,0.1544797,1.29444,0.3555808,-2.063247,0.496052,0.03512684,-1.160804,-4.10589,1.986951,-0.01467592,1.274266,0.2565529,-0.001482685,-0.0009963876,3.275814E-05,-0.006677078,-2.1687,0.5950402,2.767465,0.7738618,1.075147,0.0003622595,-0.0004984891,-0.0009173253,-0.0129925,-2.360144,-2.967311,2.714929,0.7772906,0.9581016,-0.1311567,1.288998,0.1006253,272.3686,134.2609,111.5399
5,0.4555556,0.3548854,-0.06559107,-0.3317611,-1.178976,-4.266284,-2.222484,0.1481673,1.297013,0.3524811,-2.087117,0.4407804,0.1198066,-1.160467,-4.109581,1.980102,-0.02286813,1.278542,0.2531455,0.0008421952,-0.002917602,5.967055E-05,-0.006712764,-2.179157,0.6053323,2.767488,0.7738512,1.075174,-0.0006233353,0.0006391266,-0.0008579183,-0.01294616,-2.364876,-2.962547,2.714925,0.7772864,0.9581199,-0.1403013,1.292177,0.09742998,272.3133,143.7196,103.0593
5,0.4666667,0.5687389,-0.0007047057,-0.3079748,-1.183701,-4.272911,-2.196018,0.1418583,1.299531,0.3494236,-2.113245,0.3707758,0.2370341,-1.163071,-4.11339,1.967709,-0.03124562,1.282146,0.2491698,0.0008318811,-0.002913054,0.001121222,-0.006730341,-2.171415,0.5975779,2.767532,0.7738134,1.07514,0.0003803844,0.0005694047,-0.001984631,-0.01286307,-2.364978,-2.962533,2.714929,0.7772565,0.9581124,-0.1499482,1.294737,0.09531732,272.486,147.0286,100.7005
5,0.4777778,0.7084238,0.02038147,-0.288649,-1.189191,-4.278768,-2.170433,0.1354078,1.302134,0.3463457,-2.123758,0.2939987,0.3302325,-1.164454,-4.115874,1.956335,-0.03954595,1.286156,0.245867,0.001518298,0.001432114,-0.0009903043,-0.006730341,-2.15994,0.5861503,2.767544,0.7738242,1.075118,0.002607533,-0.0006622572,0.001080327,-0.01294616,-2.359789,-2.967793,2.71488,0.7771848,0.9581289,-0.1602257,1.296763,0.09257229,272.4553,139.2839,108.9512
5,0.4888889,0.8802682,0.06924117,-0.2599209,-1.193766,-4.282281,-2.147574,0.1289039,1.304555,0.3430319,-2.092536,0.2137296,0.3475451,-1.168287,-4.118829,1.941463,-0.04783744,1.289418,0.2420654,-0.0005317936,0.000161673,0.001112704,-0.006677078,-2.170582,0.5968062,2.767491,0.7737588,1.075084,-0.001785035,-0.002485516,0.001321839,-0.0129648,-2.35454,-2.972872,2.7149,0.7771431,0.9581182,-0.1705583,1.298308,0.09014002,272.4128,127.2621,121.401
5,0.5,1.039188,0.2268543,-0.1821474,-1.199886,-4.284994,-2.128799,0.1224106,1.307016,0.3398652,-1.989692,0.1035215,0.3472524,-1.177701,-4.122926,1.927786,-0.05567133,1.292419,0.239109,0.002832439,-0.001655179,0.002217478,-0.006632336,-2.173912,0.600068,2.767496,0.7738259,1.075097,0.0005045533,0.0005603319,0.0001405692,-0.0129371,-2.366318,-2.961207,2.714893,0.7771471,0.9580805,-0.1806797,1.298942,0.08741925,272.3149,109.2302,139.835
5,0.5111111,1.136464,0.397716,-0.1428711,-1.215214,-4.292011,-2.095958,0.1100015,1.311556,0.333621,-1.758802,-0.09999967,0.40575,-1.192607,-4.131937,1.905322,-0.07131189,1.298345,0.2326181,0.0005430777,0.0002769107,6.042174E-05,-0.006650446,-2.154876,0.5811142,2.767434,0.7739351,1.075208,-0.0006916685,-0.0004229613,-0.0008674515,-0.01283111,-2.364111,-2.963368,2.714926,0.7771083,0.9581701,-0.1999595,1.299863,0.08088411,272.548,63.11768,186.9018
5,0.5222223,1.136464,0.397716,-0.1428711,-1.215214,-4.292011,-2.095958,0.1100015,1.311556,0.333621,-1.758802,-0.09999967,0.40575,-1.192607,-4.131937,1.905322,-0.07131189,1.298345,0.2326181,0.0005430777,0.0002769107,6.042174E-05,-0.006650446,-2.154876,0.5811142,2.767434,0.7739351,1.075208,-0.0006916685,-0.0004229613,-0.0008674515,-0.01283111,-2.364111,-2.963368,2.714926,0.7771083,0.9581701,-0.1999595,1.299863,0.08088411,272.548,63.11768,186.9018
5,0.5333334,1.23633,0.48474,-0.1512045,-1.224795,-4.297128,-2.077251,0.1046339,1.3136,0.3305337,-1.711231,-0.1997768,0.4720153,-1.201526,-4.137815,1.891235,-0.07866448,1.300953,0.2305102,-0.0005031769,0.0001783097,-0.001019093,-0.006659501,-2.148576,0.5748348,2.767437,0.7739215,1.075227,0.001444544,0.0004954874,-0.002051595,-0.01278903,-2.367507,-2.960073,2.714923,0.7771022,0.958177,-0.2094209,1.300254,0.07786009,272.8221,48.87502,201.8749
5,0.5444446,1.378144,0.5226519,-0.1827943,-1.236415,-4.304035,-2.056391,0.09940377,1.315353,0.3275096,-1.736244,-0.2923487,0.560239,-1.209813,-4.143377,1.873562,-0.08582956,1.302915,0.2275181,-0.0005085624,0.0001692442,-0.001017531,-0.006695187,-2.158957,0.5851998,2.767398,0.7738657,1.075135,-0.0005012022,0.0006234697,0.001265265,-0.01294616,-2.362581,-2.964824,2.714877,0.7771555,0.9581114,-0.2183333,1.300241,0.07548065,272.6474,42.21458,209.5303
5,0.5555557,1.576469,0.524253,-0.219556,-1.246873,-4.30957,-2.034391,0.09409574,1.31735,0.3243873,-1.778014,-0.3552678,0.5910183,-1.217307,-4.148211,1.851645,-0.09310645,1.304917,0.2253084,0.001799382,-0.001752766,7.475094E-05,-0.006703709,-2.175251,0.6013948,2.767403,0.7738581,1.07514,0.001559562,0.0004793336,7.919398E-05,-0.01290941,-2.363474,-2.964018,2.714871,0.7771417,0.9581108,-0.2276618,1.301058,0.07340027,272.3762,39.43822,213.1293
