loc,t,aDotS,bDotS,gDotS,aS,bS,gS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
3,0.4222222,-1.611907,-0.288533,-0.254033,-1.23694,-5.33461,-2.488387,-1.173845,-0.1020133,-0.2870595,-0.4359262,0.7264935,-0.4258246,-4.675791,-0.4333429,-0.1104276,-0.2430072,-0.257502,-0.9219416,-0.6053991,-0.003728426,-0.6828063,1.235716,-0.3746915,288.9435,170.6688,31.6215
3,0.4333333,-1.677961,-0.2694234,-0.2454445,-1.233658,-5.3343,-2.467664,-1.172882,0.08935935,-0.3318502,-0.4474818,0.7257192,-0.4162734,-4.679732,-0.4245073,-0.1220922,-0.229197,-0.248851,-0.9244269,-0.6080627,-0.0003776362,-0.6829235,1.243664,-0.3785819,288.2991,167.1218,34.86295
3,0.4444444,-1.735462,-0.2566352,-0.2283752,-1.23046,-5.333724,-2.446883,-1.173347,-0.04293129,-0.3529989,-0.4421003,0.7461193,-0.4060756,-4.681335,-0.4184287,-0.1359652,-0.2206811,-0.2508474,-0.9272786,-0.6107576,0.00321843,-0.6829826,1.251777,-0.3825337,287.7412,163.4743,38.19645
3,0.4555556,-1.778039,-0.2299109,-0.1975206,-1.228465,-5.333237,-2.425998,-1.172591,0.06998652,-0.3550193,-0.4538381,0.7684906,-0.3953297,-4.684494,-0.4114917,-0.1604941,-0.2100428,-0.2538232,-0.9302976,-0.6132888,0.007251787,-0.6829815,1.260045,-0.3865057,287.2643,159.8235,41.56359
3,0.4666667,-1.806803,-0.200019,-0.1827044,-1.226477,-5.333611,-2.405021,-1.173023,-0.03958454,-0.382454,-0.4442106,0.800649,-0.3841956,-4.685604,-0.4054151,-0.1702276,-0.1961517,-0.2707505,-0.9339354,-0.6153575,0.01072215,-0.6829262,1.268576,-0.390609,286.8708,156.4416,44.75207
3,0.4777778,-1.805737,-0.1871813,-0.1731841,-1.224076,-5.333464,-2.384971,-1.173652,-0.0566467,-0.4097518,-0.4441696,0.8594289,-0.3716739,-4.68527,-0.4001602,-0.1787434,-0.186586,-0.2695915,-0.9369091,-0.6177894,0.01429771,-0.6827233,1.27741,-0.39483,286.4964,152.754,48.263
3,0.4888889,-1.802533,-0.1818123,-0.1657608,-1.221677,-5.333189,-2.365431,-1.174483,-0.07518421,-0.4486834,-0.4217417,0.9172447,-0.3592029,-4.682747,-0.396481,-0.1852275,-0.1673879,-0.2790711,-0.9402865,-0.6192091,0.01735928,-0.6823015,1.286541,-0.3990706,286.1065,148.7303,52.04692
3,0.5,-1.822766,-0.1743422,-0.1550995,-1.219418,-5.332924,-2.344611,-1.17578,-0.1176111,-0.4592677,-0.4227717,0.9279717,-0.3476501,-4.683406,-0.3904375,-0.1938776,-0.1566925,-0.2949579,-0.9442158,-0.6208324,0.02064482,-0.6816317,1.295937,-0.4032183,285.7818,144.18,56.30697
3,0.5111111,-1.845132,-0.1465724,-0.133883,-1.218392,-5.333091,-2.323521,-1.176707,-0.08355693,-0.5282421,-0.428979,0.9678625,-0.3346826,-4.683877,-0.3820342,-0.1961724,-0.1502418,-0.3151619,-0.9484161,-0.6224582,0.02381478,-0.6807797,1.30544,-0.4072436,285.5314,138.8948,61.26254
3,0.5222223,-1.837683,-0.1123602,-0.1106335,-1.217897,-5.333385,-2.303346,-1.175775,0.08595008,-0.5590032,-0.4565981,0.9978884,-0.3213615,-4.687236,-0.3719443,-0.1940514,-0.1523699,-0.3162496,-0.9519091,-0.6246307,0.02714347,-0.6797763,1.31489,-0.411138,285.3877,133.4313,66.41394
3,0.5333334,-1.831282,-0.08774197,-0.08946478,-1.217577,-5.333549,-2.283297,-1.175818,-0.004465206,-0.5576681,-0.4790356,1.048987,-0.3067887,-4.690044,-0.3631175,-0.1994459,-0.1267786,-0.3246653,-0.9557446,-0.6252158,0.02983433,-0.6786364,1.324201,-0.4148761,285.3522,128.3636,71.18061
3,0.5444446,-1.81638,-0.04713216,-0.06520021,-1.218197,-5.334072,-2.263629,-1.177062,-0.1135447,-0.4966915,-0.4953305,1.097505,-0.2922921,-4.693167,-0.3568079,-0.2101145,-0.09590702,-0.3202148,-0.959146,-0.6250189,0.03240268,-0.6774263,1.333463,-0.4185821,285.3754,123.9504,75.32389
3,0.5555557,-1.813224,-0.007668972,-0.05581722,-1.218845,-5.335184,-2.243315,-1.177462,-0.03542352,-0.5120946,-0.5399516,1.049615,-0.2803462,-4.705579,-0.3388971,-0.2226802,-0.07364421,-0.2891513,-0.9612265,-0.6250908,0.03535213,-0.6761346,1.34269,-0.4222087,285.4662,119.6916,79.32352
3,0.5666668,-1.826106,0.01346931,-0.08465675,-1.218273,-5.337267,-2.221946,-1.178092,-0.05728157,-0.5633696,-0.531199,1.028667,-0.268607,-4.712312,-0.3242356,-0.2405043,-0.06631633,-0.2517027,-0.9627338,-0.625621,0.03893728,-0.6747878,1.351883,-0.4257647,285.6173,115.4955,83.25377
3,0.577778,-1.833671,0.02486688,-0.1188677,-1.216701,-5.339468,-2.200085,-1.177771,0.02985554,-0.6194884,-0.4447258,1.041913,-0.256391,-4.705041,-0.3221272,-0.2584565,-0.05893265,-0.2302318,-0.9647344,-0.6259862,0.042642,-0.6734274,1.361067,-0.4292605,285.8156,111.3935,87.08342
3,0.5888891,-1.831689,0.06836596,-0.1553096,-1.216661,-5.343416,-2.17805,-1.177082,0.0626741,-0.6660853,-0.3689202,1.042325,-0.2447701,-4.696605,-0.3212161,-0.27011,-0.04725423,-0.2205173,-0.966891,-0.6260542,0.04610331,-0.6721588,1.370279,-0.432752,286.1338,107.3637,90.82921
3,0.6000003,-1.814701,0.08855286,-0.1649625,-1.216939,-5.345921,-2.157444,-1.1767,0.03456802,-0.694583,-0.3112947,1.050042,-0.2329712,-4.687039,-0.3218084,-0.2818479,-0.03234355,-0.2214508,-0.9695595,-0.6257106,0.0494051,-0.6710365,1.379556,-0.4361787,286.6136,103.6986,94.21982
3,0.6111114,-1.784928,0.1237507,-0.1641291,-1.218019,-5.348943,-2.137667,-1.177261,-0.05145338,-0.7004567,-0.2282157,1.089581,-0.2205683,-4.667239,-0.3327993,-0.2989368,-0.001459539,-0.2233545,-0.9720469,-0.624287,0.0525162,-0.6700698,1.389003,-0.4394711,287.1888,100.4718,97.21024
3,0.6222225,-1.767945,0.1524629,-0.1718259,-1.218801,-5.35244,-2.117168,-1.178369,-0.1007715,-0.697402,-0.2260407,1.066146,-0.2090443,-4.661504,-0.3308072,-0.3064256,0.03156005,-0.2242584,-0.9744703,-0.622327,0.0549743,-0.6693711,1.39871,-0.4426737,287.7565,97.1128,100.4026
3,0.6333337,-1.751003,0.1811253,-0.1975735,-1.219773,-5.356942,-2.096872,-1.179482,-0.1009014,-0.7369116,-0.22269,1.050434,-0.1979528,-4.656413,-0.3263251,-0.3234461,0.04218437,-0.2198316,-0.9766829,-0.621101,0.0584918,-0.6687456,1.408483,-0.4454929,288.2982,93.57709,103.8994
3,0.6444448,-1.748916,0.1873965,-0.2221088,-1.220029,-5.361073,-2.076404,-1.178939,0.05031611,-0.7410969,-0.1864149,1.045191,-0.1867781,-4.640016,-0.3338709,-0.339311,0.05704166,-0.2036775,-0.9782094,-0.6196799,0.06192782,-0.6681554,1.418175,-0.4479456,288.8829,90.05595,107.4567
3,0.655556,-1.738277,0.1563716,-0.2518057,-1.218697,-5.36498,-2.056098,-1.1793,-0.03358828,-0.7425283,-0.1842134,0.9898043,-0.1776414,-4.634169,-0.3314165,-0.3508015,0.08676621,-0.1704708,-0.9788353,-0.617087,0.06478272,-0.6676274,1.42778,-0.4502179,289.5408,86.98035,110.5962
3,0.6666671,-1.706284,0.09336501,-0.2984804,-1.215372,-5.369061,-2.036986,-1.178943,0.03287845,-0.7493023,-0.1937465,0.939756,-0.1685035,-4.633286,-0.3236835,-0.3603728,0.1059197,-0.1660765,-0.9803991,-0.6147313,0.06782006,-0.6672127,1.437274,-0.4523424,290.2925,84.27225,113.3148
3,0.6777782,-1.677508,0.06672007,-0.3068377,-1.21398,-5.372262,-2.018003,-1.178892,0.004320045,-0.7346414,-0.2513128,0.9331888,-0.1572778,-4.641387,-0.3080233,-0.3850072,0.1261817,-0.179666,-0.9827517,-0.612077,0.07153064,-0.6669093,1.446645,-0.4543664,291.0781,81.94309,115.6769
3,0.6888894,-1.623223,0.06884396,-0.3261439,-1.212807,-5.376798,-2.00012,-1.180039,-0.1050491,-0.7049507,-0.2833184,0.9287124,-0.1461868,-4.645717,-0.2967875,-0.420346,0.1368698,-0.2017284,-0.9855768,-0.6095266,0.07597572,-0.6666504,1.455899,-0.4563846,291.9156,80.06079,117.6679
3,0.7000005,-1.582806,0.08156031,-0.3400876,-1.212348,-5.381246,-1.982444,-1.179825,0.02042413,-0.6848465,-0.29509,0.9147124,-0.1359752,-4.65031,-0.2853814,-0.4427831,0.147531,-0.2079128,-0.9878884,-0.6068545,0.08017207,-0.666307,1.464923,-0.4583465,292.8123,78.47682,119.3731
3,0.7111117,-1.510435,0.09542853,-0.3605601,-1.211884,-5.386603,-1.966246,-1.18112,-0.118853,-0.6483825,-0.2546911,0.9262655,-0.1252533,-4.633311,-0.2962106,-0.4555045,0.162404,-0.1981801,-0.9895945,-0.6038976,0.08410449,-0.6657686,1.473608,-0.4601245,293.6196,76.91085,120.9885
3,0.7222228,-1.475277,0.09431839,-0.3670291,-1.210973,-5.39091,-1.949776,-1.181137,-0.0007767744,-0.6548442,-0.2482623,0.9124619,-0.1154624,-4.630268,-0.29179,-0.4563518,0.1910737,-0.1671931,-0.9901047,-0.6001561,0.08697192,-0.6651307,1.481999,-0.461814,294.4365,75.4504,122.4193
3,0.7333339,-1.429457,0.06769073,-0.3819139,-1.209087,-5.39549,-1.934099,-1.182524,-0.12717,-0.6997604,-0.2309763,0.8734222,-0.1068822,-4.625478,-0.2871026,-0.4519548,0.206999,-0.1480033,-0.990787,-0.5966821,0.08986518,-0.6644654,1.490085,-0.4633805,295.2549,74.16325,123.6252
3,0.7444451,-1.38681,0.02814555,-0.4052417,-1.206025,-5.399985,-1.918898,-1.181592,0.08597212,-0.7330467,-0.2158407,0.8257269,-0.09948611,-4.620295,-0.2830959,-0.4646612,0.2325166,-0.1350422,-0.9915492,-0.5925456,0.09308866,-0.6639585,1.497907,-0.4649054,296.1123,73.0061,124.6715
3,0.7555562,-1.354809,-0.00378865,-0.4115467,-1.203331,-5.404336,-1.903542,-1.181911,-0.03036446,-0.7512518,-0.2008352,0.8034925,-0.09131926,-4.614848,-0.2796482,-0.4817454,0.2410345,-0.1380776,-0.9929783,-0.5889178,0.09708846,-0.6636497,1.505495,-0.4664432,296.8956,72.05605,125.598
3,0.7666674,-1.301468,-0.05171919,-0.4145892,-1.199641,-5.407929,-1.889777,-1.181974,-0.005682552,-0.7297469,-0.1657362,0.8172476,-0.08184001,-4.588263,-0.2985321,-0.5019841,0.2676383,-0.1346422,-0.993978,-0.584146,0.1007008,-0.6635123,1.512807,-0.468015,297.6892,71.29426,126.4353
3,0.7777785,-1.253487,-0.06864008,-0.409256,-1.197297,-5.411783,-1.876256,-1.181344,0.05723828,-0.6887104,-0.09243113,0.8585951,-0.07213598,-4.527495,-0.352937,-0.5126674,0.2814925,-0.1366398,-0.9950854,-0.5796684,0.1042111,-0.6634864,1.519807,-0.4696435,298.4545,70.73656,127.1156
3,0.7888896,-1.214099,-0.06007349,-0.4147152,-1.195499,-5.416528,-1.862504,-1.182176,-0.07682991,-0.6760281,-0.03593791,0.8085318,-0.06581204,-4.464864,-0.4084791,-0.5105249,0.2868146,-0.13451,-0.9961181,-0.5755174,0.1075134,-0.6634738,1.526501,-0.4713005,299.1148,70.31763,127.6754
