loc,t,aDotS,bDotS,gDotS,aS,bS,gS,xS,yS,zS,qE,qDotE,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,xSH,ySH,zSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xUB,yUB,zUB,xHand,yHand,zHand,aHand,bHand,gHand,enable
4,0.3555556,-1.053453,0.2434982,-0.2696948,-1.484666,-4.662573,-2.804915,0.3114397,1.209696,0.4569955,-1.573734,-0.03463303,0.1785659,-0.2343651,0.4355451,-0.690327,-3.501999,-0.5886526,0.3165862,1.418174,0.3640773,-0.1083209,-0.4956447,-0.1970415,-1.010599,0.5909697,-0.1478084,0.4657387,1.506779,0.2371883,0.02520504,1.184999,0.3417664,277.8654,266.658,343.5316,False
4,0.3666667,-1.068194,0.3006728,-0.3202089,-1.481611,-4.66921,-2.79202,0.3109658,1.211224,0.4579406,-1.574043,-0.02774468,0.2042178,-0.2300507,0.4481399,-0.6844857,-3.500417,-0.5929803,0.3180033,1.41917,0.3644557,-0.09357238,-0.5147635,-0.2152886,-1.012779,0.5837452,-0.1436802,0.4667493,1.506594,0.2365854,0.02395033,1.190404,0.3434849,276.961,265.4469,344.8638,False
4,0.3777778,-1.064723,0.3333365,-0.3789809,-1.47752,-4.675768,-2.779863,0.3105374,1.212921,0.4592068,-1.574626,-0.05290433,0.2255578,-0.2385113,0.449029,-0.6787673,-3.499886,-0.5965465,0.3194526,1.420069,0.3647337,-0.08512604,-0.5254171,-0.2238903,-1.014592,0.5760345,-0.1388724,0.4678211,1.506463,0.23615,0.02289036,1.195976,0.3456272,275.9758,264.1516,346.366,False
4,0.3888889,-1.061203,0.3563417,-0.444097,-1.472916,-4.682477,-2.767683,0.3101819,1.214563,0.4603255,-1.574771,-0.01261828,0.2576848,-0.2927477,0.4497508,-0.671792,-3.502266,-0.5986717,0.3210287,1.421096,0.3652077,-0.08523005,-0.5328189,-0.2345526,-1.01677,0.5690314,-0.134447,0.4688757,1.50626,0.2355399,0.02191718,1.201598,0.3481485,274.9893,262.4452,348.3925,False
4,0.4,-1.065198,0.384746,-0.5007589,-1.467964,-4.689994,-2.754924,0.3099685,1.216295,0.4618397,-1.57575,-0.08925619,0.2920113,-0.3619034,0.4557626,-0.6637567,-3.506021,-0.5999348,0.3228137,1.422164,0.3657503,-0.07382914,-0.5594181,-0.27302,-1.019933,0.5600696,-0.1291995,0.4700093,1.506111,0.2350757,0.02094422,1.207187,0.3510121,274.0749,259.2666,351.9489,False
4,0.4111111,-1.065087,0.407996,-0.5296648,-1.464021,-4.697528,-2.742182,0.309801,1.218045,0.4632006,-1.576019,-0.0237667,0.3444834,-0.4416524,0.4605454,-0.6552591,-3.511045,-0.6014731,0.3244708,1.423373,0.3663437,-0.06868425,-0.576448,-0.2975893,-1.023079,0.5512084,-0.1239638,0.4711289,1.506168,0.2348132,0.02001075,1.212646,0.3541797,273.2354,253.2749,358.3674,False
4,0.4222222,-1.05215,0.4567517,-0.5735733,-1.459365,-4.706847,-2.729857,0.3098447,1.219805,0.4648833,-1.575676,0.0315144,0.3958949,-0.5160831,0.4674762,-0.6461308,-3.51701,-0.6028459,0.3260311,1.424421,0.3669779,-0.06880048,-0.5902795,-0.311455,-1.026156,0.5424294,-0.1186382,0.472201,1.506007,0.2344668,0.01914401,1.217886,0.3575678,272.5179,243.0788,9.032193,False
4,0.4333333,-1.021171,0.5226015,-0.6121591,-1.455251,1.565853,-2.718338,0.310117,1.221529,0.4664896,-1.5758,-0.01155059,0.4298625,-0.5383018,0.4437438,-0.6389318,-3.521963,-0.6045996,0.3274906,1.425418,0.3676336,-0.07949424,-0.5912981,-0.3135237,-1.029,0.5347948,-0.1134994,0.4734011,1.505757,0.2339258,0.01834308,1.222911,0.3611557,272.0391,227.9328,24.62844,False
4,0.4444444,-0.9763474,0.5810345,-0.6495402,-1.451302,1.554872,-2.707611,0.310476,1.223171,0.4682007,-1.576557,-0.06893788,0.4350542,-0.5233681,0.4266715,-0.6322504,-3.525258,-0.607238,0.3289435,1.426415,0.3683326,-0.08898932,-0.5827795,-0.3049248,-1.031481,0.5272241,-0.1083624,0.4743369,1.505713,0.2338483,0.01760196,1.227796,0.3648909,271.8038,209.4066,43.62947,False
4,0.4555556,-0.951804,0.6118633,-0.6687664,-1.447266,1.544288,-2.696433,0.3108836,1.224939,0.4699273,-1.577625,-0.09708467,0.4314919,-0.4732599,0.3990971,-0.627265,-3.526659,-0.6106796,0.3304545,1.427345,0.3689733,-0.09101945,-0.5796084,-0.2910436,-1.033474,0.5194075,-0.1031642,0.4752759,1.505591,0.2336035,0.01700317,1.23257,0.3688333,271.871,188.6688,64.80685,False
