loc,t,aDotS,bDotS,gDotS,aS,bS,gS,aDotSH,bDotSH,gDotSH,aSH,bSH,gSH,aDotUB,bDotUB,gDotUB,aUB,bUB,gUB,xHand,yHand,zHand,aHand,bHand,gHand
2,0.5333334,-0.2224112,0.2008089,-0.4811636,-0.9861925,3.130548,-0.813878,0.472922,-0.2396322,0.2005754,-0.5349119,-0.8109475,-0.2834488,-0.05588758,-0.4971027,-0.2665986,-1.041987,1.589518,1.978571,0.1386417,1.4332,0.7673578,276.2058,188.993,156.784
2,0.5444446,-0.2071008,0.1600375,-0.448062,-0.9756059,3.097806,-0.7759423,0.4329677,-0.2021042,0.202374,-0.5377066,-0.781405,-0.3110295,-0.07243726,-0.4545315,-0.2396169,-1.045233,1.586454,1.981146,0.1428691,1.445273,0.7703362,277.3047,197.3082,149.4026
2,0.5555557,-0.2384566,0.1436113,-0.4330251,-0.9728218,3.06022,-0.7310532,0.4134435,-0.2116618,0.2219468,-0.5393716,-0.7546674,-0.3337165,-0.08747883,-0.4351891,-0.2606808,-1.050151,1.583644,1.983986,0.1467698,1.457072,0.7738813,278.3088,203.5182,144.19
2,0.5666668,-0.3067626,0.1258727,-0.4007364,-0.9738812,3.027911,-0.6878551,0.3748059,-0.2498797,0.2600341,-0.5429834,-0.7249615,-0.3590825,-0.1134541,-0.397547,-0.3156287,-1.056449,1.58224,1.986779,0.1504808,1.468572,0.7769367,279.2706,205.5053,142.9623
2,0.577778,-0.34431,0.1079746,-0.365972,-0.9728826,2.995829,-0.6471151,0.3387896,-0.2648195,0.2814884,-0.5480695,-0.6958579,-0.3864577,-0.1327251,-0.3600506,-0.3418933,-1.061834,1.581502,1.989208,0.1542591,1.480072,0.7799296,280.1917,207.0598,142.0682
2,0.5888891,-0.3668288,0.08044739,-0.3144971,-0.9730147,2.966171,-0.6072156,0.2854962,-0.265729,0.2963503,-0.5517255,-0.6682057,-0.4127335,-0.1527737,-0.3055728,-0.3510399,-1.066202,1.581839,1.991071,0.1583508,1.49166,0.7810341,281.0551,206.4935,142.8576
2,0.6000003,-0.3790407,0.05816926,-0.2990366,-0.9733806,2.938842,-0.5702414,0.2684463,-0.2559273,0.3145094,-0.5551253,-0.6411816,-0.4368724,-0.1739994,-0.2884276,-0.3507308,-1.070741,1.580685,1.99421,0.1621071,1.502929,0.7837176,281.6662,203.5116,145.6937
2,0.6111114,-0.3750281,0.02411868,-0.2511813,-0.9737811,2.912968,-0.5323424,0.2185375,-0.2322068,0.3203768,-0.5591334,-0.6131161,-0.460517,-0.1927498,-0.2383525,-0.3321979,-1.074029,1.581038,1.996777,0.1650172,1.513669,0.786981,282.2284,200.559,148.5728
2,0.6222225,-0.3602614,-0.02044156,-0.1869442,-0.974636,2.888721,-0.4949309,0.1501331,-0.1965853,0.3224416,-0.5630754,-0.5865176,-0.4807224,-0.2144466,-0.1712861,-0.2997131,-1.076134,1.582184,1.998937,0.1679212,1.52365,0.7898939,282.7848,199.3191,150.1583
2,0.6333337,-0.3491864,-0.0445206,-0.1263429,-0.9754078,2.866342,-0.4580179,0.09109187,-0.1778118,0.3161661,-0.5679606,-0.5632011,-0.4980841,-0.222479,-0.1116836,-0.2791158,-1.078131,1.583927,2.000834,0.1709016,1.533622,0.7934716,283.1626,199.5216,150.5853
2,0.6444448,-0.3529371,-0.03987963,-0.08856133,-0.9769093,2.843118,-0.4209211,0.06162462,-0.1855001,0.3094999,-0.5736561,-0.540912,-0.5165835,-0.2180926,-0.07863864,-0.2832837,-1.081248,1.58581,2.002054,0.1744921,1.543838,0.79656,283.6416,200.8093,150.0443
2,0.655556,-0.3574412,-0.03296988,-0.03103658,-0.9781295,2.823165,-0.3866489,0.01359922,-0.2005533,0.2990116,-0.5815087,-0.5172791,-0.5381168,-0.2115272,-0.02537033,-0.2905634,-1.083722,1.58891,2.002697,0.1770423,1.553288,0.8004327,284.1068,203.9181,147.8934
